Alpha,Error
0.00000000000e+00,1.01217098503e+00
1.00000000000e+01,5.49539186462e-01
1.00000000000e+02,4.17452331017e-01
5.00000000000e+02,3.85816005249e-01
1.00000000000e+03,3.73279439632e-01
1.50000000000e+03,3.64017546434e-01
2.20000000000e+03,3.53436416070e-01
1.00000000000e+04,3.04193184194e-01
2.00000000000e+04,3.02774706198e-01
3.00000000000e+04,4.33193533039e-01
4.00000000000e+04,4.41508804949e-01
5.00000000000e+04,5.34704877965e-01
1.00000000000e+05,4.27348678535e-01
2.00000000000e+05,7.19444410582e-01
5.00000000000e+05,1.86524258256e+00
